basin,date,year,daily_basin_avg_in,daily_max_bin_in
Bexar,2002-01-01,2002,0,0
Bexar,2002-01-02,2002,0,0
Bexar,2002-01-03,2002,0,0
Bexar,2002-01-04,2002,0,0
Bexar,2002-01-05,2002,0.3455796074537573,1.37795
Bexar,2002-01-06,2002,5.362389112918126e-4,0.011811
Bexar,2002-01-07,2002,0,0
Bexar,2002-01-08,2002,0,0
Bexar,2002-01-09,2002,0,0
Bexar,2002-01-10,2002,0,0
Bexar,2002-01-11,2002,0,0
Bexar,2002-01-12,2002,0,0
Bexar,2002-01-13,2002,0,0
Bexar,2002-01-14,2002,0,0
Bexar,2002-01-15,2002,0,0
Bexar,2002-01-16,2002,0,0
Bexar,2002-01-17,2002,0,0
Bexar,2002-01-18,2002,0,0
Bexar,2002-01-19,2002,0,0
Bexar,2002-01-20,2002,0,0
Bexar,2002-01-21,2002,0,0
Bexar,2002-01-22,2002,3.50720462702683e-4,0.011811
Bexar,2002-01-23,2002,0.0022246062914484735,0.031496
Bexar,2002-01-24,2002,4.3746378624469134e-4,0.011811
Bexar,2002-01-25,2002,0.0035434186940961937,0.09055099999999999
Bexar,2002-01-26,2002,0,0
Bexar,2002-01-27,2002,0,0
Bexar,2002-01-28,2002,0,0
Bexar,2002-01-29,2002,0,0
Bexar,2002-01-30,2002,0,0
Bexar,2002-01-31,2002,1.347131889951211e-4,0.011811
Bexar,2002-02-01,2002,0.01204474755867208,0.09055099999999999
Bexar,2002-02-02,2002,0.00999681242083202,0.114173
Bexar,2002-02-03,2002,0,0
Bexar,2002-02-04,2002,0,0
Bexar,2002-02-05,2002,0.009559818891756413,0.035433000000000006
Bexar,2002-02-06,2002,0.2176859507985578,0.417322
Bexar,2002-02-07,2002,0,0
Bexar,2002-02-08,2002,0,0
Bexar,2002-02-09,2002,0,0
Bexar,2002-02-10,2002,0,0
Bexar,2002-02-11,2002,0,0
Bexar,2002-02-12,2002,0,0
Bexar,2002-02-13,2002,0,0
Bexar,2002-02-14,2002,0,0
Bexar,2002-02-15,2002,0,0
Bexar,2002-02-16,2002,0,0
Bexar,2002-02-17,2002,0,0
Bexar,2002-02-18,2002,0,0
Bexar,2002-02-19,2002,NA,0
Bexar,2002-02-20,2002,0.0032368023617558544,0.031496
Bexar,2002-02-21,2002,0,0
Bexar,2002-02-22,2002,0,0
Bexar,2002-02-23,2002,0,0
Bexar,2002-02-24,2002,0,0
Bexar,2002-02-25,2002,0,0
Bexar,2002-02-26,2002,0,0
Bexar,2002-02-27,2002,0,0
Bexar,2002-02-28,2002,0,0
Bexar,2002-03-01,2002,0.010468634689486054,0.059055
Bexar,2002-03-02,2002,6.371901442918873e-4,0.011811
Bexar,2002-03-03,2002,9.265085774448574e-4,0.011811
Bexar,2002-03-04,2002,0,0
Bexar,2002-03-05,2002,0,0
Bexar,2002-03-06,2002,0,0
Bexar,2002-03-07,2002,0,0
Bexar,2002-03-08,2002,0,0
Bexar,2002-03-09,2002,5.429068572474289e-4,0.011811
Bexar,2002-03-10,2002,0.0025125511545682866,0.019685
Bexar,2002-03-11,2002,0.016421877293611557,0.09842500000000001
Bexar,2002-03-12,2002,0.015397456310583554,0.09055099999999999
Bexar,2002-03-13,2002,NA,0
Bexar,2002-03-14,2002,NA,0
Bexar,2002-03-15,2002,NA,0
Bexar,2002-03-16,2002,NA,0
Bexar,2002-03-17,2002,NA,0
Bexar,2002-03-18,2002,NA,0
Bexar,2002-03-19,2002,0.0021456700707236593,0.031496
Bexar,2002-03-20,2002,0.723720880938138,1.314958
Bexar,2002-03-21,2002,0,0
Bexar,2002-03-22,2002,0,0
Bexar,2002-03-23,2002,0,0
Bexar,2002-03-24,2002,0,0
Bexar,2002-03-25,2002,0,0
Bexar,2002-03-26,2002,0,0
Bexar,2002-03-27,2002,0,0
Bexar,2002-03-28,2002,0,0
Bexar,2002-03-29,2002,0,0
Bexar,2002-03-30,2002,0.8068061941603534,2.031492
Bexar,2002-03-31,2002,0.3407023194786485,1.118108
Bexar,2002-04-01,2002,0,0
Bexar,2002-04-02,2002,0,0
Bexar,2002-04-03,2002,0,0
Bexar,2002-04-04,2002,0,0
Bexar,2002-04-05,2002,0,0
Bexar,2002-04-06,2002,6.274788635891079e-4,0.019685
Bexar,2002-04-07,2002,0.1604333362260676,0.40551100000000007
Bexar,2002-04-08,2002,1.636639085408857,2.2834600000000003
Bexar,2002-04-09,2002,0,0
Bexar,2002-04-10,2002,0,0
Bexar,2002-04-11,2002,0,0
Bexar,2002-04-12,2002,0,0
Bexar,2002-04-13,2002,0,0
Bexar,2002-04-14,2002,0.05655460765673731,0.547243
